,FDPS,DHCR24,DHCR7,G6PD,HMGCS2,HSD17B7,LIMA1,NSDHL,PRKAA1,VLDLR
CD8_T,0.2937368931455252,0.3643619804748219,0.010389329248256156,0.02435333908950511,0.14160671730757873,0.320095142184648,0.007906317025698892,0.07279148205820313,0.058016218658728004,0.07049993755243308
Epithelial_tumor,0.15847713571415675,0.12246713620873446,0.012219016146451636,0.013712592759051245,0.142299274376416,0.1083102913984182,0.0076225324359019955,0.02606406832473923,0.062382221150935245,0.017825588701782028
Monocyte,0.6505765140462669,0.31046087804180217,0.00461725204316331,0.006672688537565805,0.17434556007814836,0.3586960313045315,0.002878159766971082,0.022664153703887992,0.02108095771306014,0.02321719569616898
Myoepithelial,0.33033092731776936,0.3337473624376093,0.021699670796535942,0.01243340137739324,0.06961459616832857,0.40833218288127865,0.007819667453102615,0.03818154987198319,0.05464068748182131,0.03528582134241082
Other,0.14651748012405416,0.1540081525144024,0.011415722502256538,0.014461944558678946,0.09065822874054844,0.10688854266863701,0.004322111370116248,0.027276577399478148,0.0324873765302426,0.029468871307598506
T_cell,0.28259085766524483,0.2468378447101072,0.053187751057802164,0.030605103984816497,0.1809763289778499,0.21737533157563438,0.013507552206014626,0.0264919106928027,0.07986448302124075,0.026632037565416114
Treg,0.30367863600983946,0.4590247987571937,0.006463584252981178,0.018030006197817743,0.17100384995018664,0.2622383978146162,0.005058632157839297,0.16010862784156524,0.052914189110808835,0.14360777972234248
