gene,coef
ABCG1,0.695958670672285
DHCR24,0.632192357766346
DHCR7,-0.40160900753216927
FDXR,0.5122006970026232
G6PD,-0.7115699187585678
HMGCS2,0.4233624652409346
HSD17B7,0.5088800857117507
LIMA1,0.6229387031844835
NSDHL,-0.3827160670602549
PRKAA1,-0.6344860976427926
VLDLR,-0.744108366070512
