,kruskal_p,C1,C2,C3,C4
CD8_T,5.169923143741661e-05,0.6846377011125137,0.6600169224085217,0.6635935740539173,0.6768857272924432
CD4_T,0.0002295179044711022,0.717677441357156,0.7176236367617089,0.7033657456437702,0.7257252400839707
Treg,7.391900583466248e-15,0.7632064387793139,0.7318001126017412,0.7340410299051309,0.7593567932143478
NK,0.026452088264221983,0.6543994840275278,0.6463328236890256,0.6480537354818244,0.6570939204263159
B_cell,0.4200112301404765,0.687702521861407,0.6823336407962258,0.6789731875163596,0.6854401402580164
Macrophage,0.03671747754564198,0.8135998011763453,0.8072139424775674,0.8027838520572799,0.8128678786728805
DC,2.9783760206695477e-10,0.658332387457589,0.6912426007902929,0.6734841055177239,0.6708479681766076
Neutrophil,6.071847085761196e-05,0.6754641955584867,0.6550842360771637,0.6673562418920986,0.6833625061156992
Stroma,1.0502965000877526e-23,0.8654175217190395,0.9143778181199752,0.887173304467429,0.9034215877963456
