gene,median_C1,median_C2,median_C3,median_C4,kruskal_P,highest_subtype,lowest_subtype
CD274,2.461747646331787,2.3153679370880127,1.909464716911316,2.429236650466919,5.663357e-10,1,3
PDCD1,1.4153223037719727,0.9925010800361633,0.9194586277008057,1.0476478338241577,4.8695634e-05,1,3
CTLA4,1.8616968393325806,1.0870120525360107,0.9709808826446533,1.440712571144104,1.2554406e-10,1,3
LAG3,2.7926383018493652,1.6236562728881836,1.961836338043213,2.164820909500122,3.2294169e-15,1,2
HAVCR2,4.313419818878174,4.220502853393555,4.0770263671875,4.2869720458984375,0.116187446,1,3
IDO1,4.011497974395752,1.9768595695495605,1.8944898843765259,2.9042954444885254,1.706087e-20,1,3
CD8A,3.366666316986084,3.4245481491088867,2.995887279510498,3.243713855743408,0.107732646,2,3
