control,iteration,auc
Permuted ER labels,80,0.4659172968185844
Random 11-gene set,81,0.8407657197356768
Permuted ER labels,81,0.5116152326452755
Random 11-gene set,82,0.7630492540363785
Permuted ER labels,82,0.5376524286395532
Random 11-gene set,83,0.8579876013352409
Permuted ER labels,83,0.514687649022413
Random 11-gene set,84,0.8062947067238913
Permuted ER labels,84,0.48339123918523064
Random 11-gene set,85,0.7982423870835889
Permuted ER labels,85,0.5183868110906737
Random 11-gene set,86,0.8332107091763745
Permuted ER labels,86,0.47420805231964025
Random 11-gene set,87,0.8280264323182778
Permuted ER labels,87,0.5012330540227536
Random 11-gene set,88,0.8273724368144969
Permuted ER labels,88,0.5135499693439607
Random 11-gene set,89,0.8132979085768784
Permuted ER labels,89,0.48933169834457396
Random 11-gene set,90,0.8724708767627223
Permuted ER labels,90,0.5111724231895906
Random 11-gene set,91,0.8687921520539547
Permuted ER labels,91,0.5027181688125895
Random 11-gene set,92,0.8776824034334765
Permuted ER labels,92,0.47264118809183187
Random 11-gene set,93,0.8081749437972614
Permuted ER labels,93,0.5101096804959466
Random 11-gene set,94,0.8257306356018803
Permuted ER labels,94,0.5194223039716602
Random 11-gene set,95,0.8373254308876628
Permuted ER labels,95,0.4894134477825465
Random 11-gene set,96,0.7575720416922134
Permuted ER labels,96,0.49811976292662985
Random 11-gene set,97,0.7666939164793242
Permuted ER labels,97,0.47413311533483204
Random 11-gene set,98,0.8467198038013489
Permuted ER labels,98,0.4666802915729954
Random 11-gene set,99,0.8278220587233461
Permuted ER labels,99,0.5504666530417603
Random 11-gene set,100,0.8237754615437021
Permuted ER labels,100,0.4889502009673683
Random 11-gene set,101,0.8439198855507869
Permuted ER labels,101,0.5627699434566387
Random 11-gene set,102,0.8448940663532938
Permuted ER labels,102,0.5173581306628516
Random 11-gene set,103,0.8694870222767218
Permuted ER labels,103,0.5035288507391511
Random 11-gene set,104,0.8265140677157845
Permuted ER labels,104,0.4597929014238027
Random 11-gene set,105,0.8399005381838
Permuted ER labels,105,0.47726003133728456
Random 11-gene set,106,0.7899993187546835
Permuted ER labels,106,0.4655153620818857
Random 11-gene set,107,0.7800122624156959
Permuted ER labels,107,0.5008788064582056
Random 11-gene set,108,0.7958852782887118
Permuted ER labels,108,0.5235710879487704
Random 11-gene set,109,0.8035220382859868
Permuted ER labels,109,0.5281967436473873
Random 11-gene set,110,0.8120784794604538
Permuted ER labels,110,0.47535254445125685
Random 11-gene set,111,0.8710061993323797
Permuted ER labels,111,0.49033312895973846
Random 11-gene set,112,0.8713604468969276
Permuted ER labels,112,0.42810136930308607
Random 11-gene set,113,0.8369711833231147
Permuted ER labels,113,0.5360855644117446
Random 11-gene set,114,0.7586211594795286
Permuted ER labels,114,0.5566659854213503
Random 11-gene set,115,0.809251311397234
Permuted ER labels,115,0.4707337012058042
Random 11-gene set,116,0.817630628789427
Permuted ER labels,116,0.4883575175420669
Random 11-gene set,117,0.8004564343620137
Permuted ER labels,117,0.5181892499489067
Random 11-gene set,118,0.8509298998569386
Permuted ER labels,118,0.4710334491450371
Random 11-gene set,119,0.8905306901015057
Permuted ER labels,119,0.49111656107364265
Random 11-gene set,120,0.8946930989849445
Permuted ER labels,120,0.4902241297091082
Random 11-gene set,121,0.8695551468083658
Permuted ER labels,121,0.5051297772327815
