pathway,kruskal_P,mean_C1,mean_C2,mean_C3,mean_C4
Cholesterol biosynthesis (KEGG),1.4279158933836735e-17,0.7189413588716133,0.7098954576104909,0.72116682902568,0.727014476907671
Cholesterol metabolism (GO),3.90659187420825e-13,0.6507057950353214,0.6555576167278466,0.6596686806079465,0.663010740313788
Fatty acid oxidation,2.0547813807950187e-24,0.7158454813998151,0.7297186322688961,0.7353475474143423,0.7341547253410061
Glycolysis,4.0302969136655543e-28,0.749240475426044,0.7243073990872522,0.7340211221538366,0.7354910459319933
Estrogen response,9.164872317392398e-84,0.6888218405512644,0.8256873373583233,0.8259828793605742,0.7729952717520207
Immune cytokines,1.6157642755928581e-16,0.6340758905200844,0.6068926045868476,0.6045919625608736,0.6214737277039366
Oxidative phosphorylation,5.303421818320645e-28,0.7727378558602577,0.7599134995345561,0.7763885152595092,0.7722282795028972
Cell cycle,7.621280482619227e-63,0.7952194885524801,0.75392449237508,0.7713798945726094,0.7857223666152746
