k,PAC_0.1_0.9,silhouette,mean_cluster_consensus,minimum_cluster_consensus,median_adjusted_rand_index,ARI_2.5pct,ARI_97.5pct,median_sample_retention,retention_2.5pct,retention_97.5pct,median_mean_cluster_jaccard,median_minimum_cluster_jaccard,median_heldout_adjusted_rand_index,median_heldout_sample_retention,heldout_retention_2.5pct,heldout_retention_97.5pct,median_heldout_mean_cluster_jaccard,n_resamples,resample_fraction
3,0.11284008871687476,0.14236293743609366,0.9661662518851033,0.9478689100071703,0.9483471306587183,0.8252076652763285,0.9873114655450449,0.9842436974789915,0.9464023109243698,0.9957983193277311,0.9710523894162728,0.9635479413223726,0.9446687646661709,0.9842931937172775,0.93717277486911,1.0,0.969350738173342,200,0.8
4,0.09667400083061616,0.14036750960029842,0.9355852318993666,0.8404785333818704,0.9303971421156101,0.8539531198323633,0.9643332537535698,0.9737394957983193,0.9411239495798319,0.9863707983193278,0.9472522145596368,0.8994248124028958,0.9282135729408698,0.9738219895287958,0.937041884816754,0.9947643979057592,0.9437315226145013,200,0.8
5,0.18527379406021083,0.11167342084353152,0.8723119888042928,0.8211126137931058,0.8583500123791126,0.5497432039366261,0.9143256764119344,0.9422268907563025,0.789889705882353,0.9653886554621849,0.8957871395475041,0.819162363740677,0.8445688483566227,0.93717277486911,0.805890052356021,0.9738219895287958,0.8894827359319792,200,0.8
