k,resample,adjusted_rand_index,sample_retention,mean_cluster_jaccard,minimum_cluster_jaccard,heldout_adjusted_rand_index,heldout_sample_retention,heldout_mean_cluster_jaccard,cluster_1_jaccard,cluster_2_jaccard,cluster_3_jaccard,cluster_4_jaccard,cluster_5_jaccard
3,1,0.9408956672930615,0.9821428571428571,0.9682258995975598,0.9603960396039604,0.9276217353657562,0.9790575916230366,0.966661457519404,0.9815950920245399,0.9603960396039604,0.9626865671641791,,
3,2,0.9667432534368685,0.990546218487395,0.9850181428232977,0.9773869346733668,0.9260600191238985,0.9790575916230366,0.967871485943775,1.0,0.9776674937965261,0.9773869346733668,,
3,3,0.9450046940224537,0.9842436974789915,0.9752122470543426,0.9623115577889447,0.9434677928018202,0.9842931937172775,0.9763106251752173,1.0,0.9633251833740831,0.9623115577889447,,
3,4,0.9470624013861859,0.9842436974789915,0.9726903189277544,0.9646464646464646,0.93209430787165,0.9790575916230366,0.9611233193493512,0.9876543209876543,0.9646464646464646,0.9657701711491442,,
3,5,0.9347306425144456,0.9800420168067226,0.9637788577133892,0.9573934837092731,0.9445262884569018,0.9842931937172775,0.9754307116104869,0.975609756097561,0.9573934837092731,0.9583333333333334,,
3,6,0.9599799087559798,0.9873949579831933,0.9751833238423276,0.9704433497536946,0.9505676554593772,0.9842931937172775,0.9693590961883646,0.9753086419753086,0.9797979797979798,0.9704433497536946,,
3,7,0.9873114640309737,0.9957983193277311,0.9908469583232286,0.9876543209876543,0.981067957961404,0.9947643979057592,0.9918831168831169,0.9876543209876543,0.9924242424242424,0.992462311557789,,
3,8,0.9667413496674555,0.990546218487395,0.9850187032418952,0.9775,1.0,1.0,1.0,1.0,0.9775,0.9775561097256857,,
3,9,0.9772941805728654,0.9926470588235294,0.9846562764660924,0.9815950920245399,0.9679939354134633,0.9895287958115183,0.978818405647674,0.9815950920245399,0.9873737373737373,0.985,,
3,10,0.9740663346163372,0.9926470588235294,0.9883187134502923,0.9824561403508771,0.9629403436404319,0.9895287958115183,0.9834311001337861,1.0,0.9825,0.9824561403508771,,
3,11,0.9527555637534396,0.9852941176470589,0.9719166918494085,0.9696969696969697,0.9088019627962578,0.9738219895287958,0.9594627594627595,0.975609756097561,0.9696969696969697,0.9704433497536946,,
3,12,0.9496361483333448,0.9852941176470589,0.9755768785590919,0.9659367396593674,0.9627708874406015,0.9895287958115183,0.9835353535353536,0.9937888198757764,0.9670050761421319,0.9659367396593674,,
3,13,0.9507050565308711,0.9852941176470589,0.974301935958807,0.964735516372796,0.9458224449246746,0.9842931937172775,0.9744715447154472,0.9876543209876543,0.964735516372796,0.9705159705159705,,
3,14,0.9740660871892532,0.9926470588235294,0.988318567066421,0.9824120603015075,0.9443995390311393,0.9842931937172775,0.9755770662695458,1.0,0.9824120603015075,0.9825436408977556,,
3,15,0.9480712175689471,0.9842436974789915,0.9714514175854129,0.964735516372796,0.9497947622856749,0.9842931937172775,0.9690963219968481,0.9814814814814815,0.964735516372796,0.9681372549019608,,
3,16,0.9440924418532142,0.9821428571428571,0.9645704252868313,0.9631901840490797,0.9673622733758462,0.9895287958115183,0.9777420646985865,0.9631901840490797,0.9652605459057072,0.9652605459057072,,
3,17,0.9501823328222282,0.9842436974789915,0.9691176100153657,0.9675810473815462,0.9439767108716396,0.9842931937172775,0.9758530942741469,0.9696969696969697,0.9675810473815462,0.970074812967581,,
3,18,0.9399144194559702,0.9821428571428571,0.9693958334250093,0.9568527918781726,0.9693158604498925,0.9895287958115183,0.9779411764705882,0.9876543209876543,0.9568527918781726,0.9636803874092009,,
3,19,0.9568699859037787,0.9873949579831933,0.9788258574265906,0.9698492462311558,0.9636314304909137,0.9895287958115183,0.9828806584362141,0.9937888198757764,0.9728395061728395,0.9698492462311558,,
3,20,0.866501911358614,0.9600840336134454,0.9363458439145905,0.9081885856079405,0.8566303921661786,0.9581151832460733,0.9366150961087669,0.9875,0.9133489461358314,0.9081885856079405,,
3,21,0.9297222143235484,0.9779411764705882,0.9581166139901008,0.9525,0.957850572858258,0.9842931937172775,0.9641927309837758,0.9634146341463414,0.9584352078239609,0.9525,,
3,22,0.9381815955717001,0.9810924369747899,0.965389239391397,0.9587378640776699,0.8966890687968855,0.9685863874345549,0.945115757146232,0.9753086419753086,0.9621212121212122,0.9587378640776699,,
3,23,0.9574350225634732,0.9863445378151261,0.9722305413771192,0.968944099378882,0.9872638555722555,0.9947643979057592,0.9844407064760303,0.968944099378882,0.9752475247524752,0.9725,,
3,24,0.9456173988935253,0.9831932773109243,0.968597983662546,0.9595959595959596,0.9444591648559234,0.9842931937172775,0.9754318046456224,0.975609756097561,0.9595959595959596,0.9705882352941176,,
3,25,0.83755747858411,0.9495798319327731,0.9147276613611206,0.8878048780487805,0.8117601045652088,0.9424083769633508,0.9072662601626016,0.9573170731707317,0.8990610328638498,0.8878048780487805,,
3,26,0.9836050306276065,0.9947478991596639,0.9891756581265184,0.9876543209876543,1.0,1.0,1.0,0.9876543209876543,0.9898477157360406,0.9900249376558603,,
3,27,0.9810362408051289,0.9936974789915967,0.9862894720516162,0.9814814814814815,0.9858545022065582,0.9947643979057592,0.9868191721132898,0.9814814814814815,0.9849246231155779,0.992462311557789,,
3,28,0.9673421504326831,0.9894957983193278,0.9785030845283327,0.975609756097561,0.9874968585875659,0.9947643979057592,0.9862290862290862,0.975609756097561,0.9798994974874372,0.98,,
3,29,0.9773358850642855,0.9926470588235294,0.9846179323728288,0.9814814814814815,0.9681437484113635,0.9895287958115183,0.9767722473604827,0.9814814814814815,0.9848101265822785,0.9875621890547264,,
3,30,0.9479380472908451,0.9842436974789915,0.9715006132817199,0.9635922330097088,0.9269179005156822,0.9790575916230366,0.9671801067149904,0.9813664596273292,0.9695431472081218,0.9635922330097088,,
3,31,0.9542844373962993,0.9863445378151261,0.9759654188238418,0.967741935483871,0.8775364323069688,0.9633507853403142,0.941437908496732,0.9876543209876543,0.9725,0.967741935483871,,
3,32,0.9305389784384683,0.9779411764705882,0.956831501006278,0.9562043795620438,0.9733976604565524,0.9895287958115183,0.9733196464830648,0.9567901234567902,0.9562043795620438,0.9575,,
3,33,0.9517007168726096,0.9852941176470589,0.9730994099776445,0.967741935483871,0.9811355387943334,0.9947643979057592,0.9918261562998406,0.9814814814814815,0.970074812967581,0.967741935483871,,
3,34,0.9320442479302968,0.9789915966386554,0.960968793839115,0.9538834951456311,0.9494012448879154,0.9842931937172775,0.9678518660586172,0.9693251533742331,0.9596977329974811,0.9538834951456311,,
3,35,0.949245204248784,0.9842436974789915,0.9702050844403466,0.9646464646464646,0.9207374481024599,0.9738219895287958,0.9471135609293504,0.9753086419753086,0.9646464646464646,0.9706601466992665,,
3,36,0.9491694606964393,0.9842436974789915,0.9702441333090364,0.9625,0.9503905938430071,0.9842931937172775,0.9697316596050775,0.9754601226993865,0.9727722772277227,0.9625,,
3,37,0.9788392904966865,0.9936974789915967,0.9887202246344037,0.9848484848484849,0.9812875134827057,0.9947643979057592,0.991715550066893,0.99375,0.9848484848484849,0.9875621890547264,,
3,38,0.8433433656047006,0.9516806722689075,0.9189933158652216,0.8921568627450981,0.8155006825069295,0.9424083769633508,0.9012189714457821,0.9634146341463414,0.9014084507042254,0.8921568627450981,,
3,39,0.9430148798142878,0.9821428571428571,0.9657935051893204,0.9593908629441624,0.9324496086076937,0.9790575916230366,0.9601090741835864,0.9696969696969697,0.9593908629441624,0.9682926829268292,,
3,40,0.9466226713110174,0.9831932773109243,0.9674286834687962,0.9619289340101523,0.8956168332691502,0.9685863874345549,0.9444644861311527,0.9696969696969697,0.9619289340101523,0.9706601466992665,,
3,41,0.9320152444155171,0.9789915966386554,0.9609750348178485,0.9541062801932367,0.9495982995079858,0.9842931937172775,0.9689037313577943,0.9693251533742331,0.959493670886076,0.9541062801932367,,
3,42,0.8463659165759849,0.9516806722689075,0.9151547267814347,0.8938271604938272,0.8500105131962193,0.9528795811518325,0.916662505201831,0.9444444444444444,0.9071925754060325,0.8938271604938272,,
3,43,0.9589858330078053,0.9873949579831933,0.9763858120547303,0.9725,0.9554149001901839,0.9842931937172775,0.9632034632034632,0.9815950920245399,0.9725,0.9750623441396509,,
3,44,0.9543449129419506,0.9863445378151261,0.9759295242031815,0.9671717171717171,0.9638318790031849,0.9895287958115183,0.9825729825729826,0.9875776397515528,0.9671717171717171,0.9730392156862745,,
3,45,0.9512086697709614,0.9842436974789915,0.967982730307757,0.963855421686747,0.9496099172994548,0.9842931937172775,0.9689355973985956,0.963855421686747,0.9724310776942355,0.9676616915422885,,
3,46,0.9316876249769681,0.9800420168067226,0.9674721245548735,0.9528535980148883,0.9623094440686275,0.9895287958115183,0.9839357429718877,0.9937888198757764,0.9557739557739557,0.9528535980148883,,
3,47,0.8844652366331534,0.9653361344537815,0.9428235370658814,0.9200968523002422,0.9153853149983583,0.9738219895287958,0.9528322440087145,0.9813664596273292,0.927007299270073,0.9200968523002422,,
3,48,0.8833345050903272,0.9632352941176471,0.9324147302529365,0.9174757281553398,0.8777899894043752,0.9633507853403142,0.9372452429247561,0.9457831325301205,0.9174757281553398,0.9339853300733496,,
3,49,0.9502328031337762,0.9842436974789915,0.9690906640808684,0.964735516372796,0.9276592100516043,0.9790575916230366,0.9666197256558702,0.9696969696969697,0.964735516372796,0.9728395061728395,,
3,50,0.951206498317745,0.9842436974789915,0.9678925592531563,0.9634146341463414,0.9816138577813781,0.9947643979057592,0.991365265558814,0.9634146341463414,0.9723618090452262,0.9679012345679012,,
3,51,0.9453916193841146,0.9831932773109243,0.9686336330684274,0.9635036496350365,0.981253512666255,0.9947643979057592,0.9917073667073667,0.9753086419753086,0.9670886075949368,0.9635036496350365,,
3,52,0.9114824686492748,0.9737394957983193,0.9566189035143283,0.9385749385749386,0.9447578750176928,0.9842931937172775,0.9753048780487804,0.9876543209876543,0.9385749385749386,0.9436274509803921,,
3,53,0.9810070709010948,0.9936974789915967,0.9863122880588128,0.9815950920245399,0.9448080150378411,0.9842931937172775,0.9752482811306341,0.9815950920245399,0.9873417721518988,0.99,,
3,54,0.9688722240487276,0.990546218487395,0.982534564595604,0.9798994974874372,0.9444059951881655,0.9842931937172775,0.9755770662695458,0.9876543209876543,0.9800498753117207,0.9798994974874372,,
3,55,0.9814296441427668,0.9947478991596639,0.9916342322597439,0.9873096446700508,0.9624366901207111,0.9895287958115183,0.9838330393885949,1.0,0.9873096446700508,0.9875930521091811,,
3,56,0.886975567547958,0.9663865546218487,0.9456570366441753,0.9234567901234568,0.8805946084309392,0.9633507853403142,0.9371844066288512,0.9875,0.9260143198090692,0.9234567901234568,,
3,57,0.8244326457604833,0.9453781512605042,0.9086636264323347,0.8759124087591241,0.8169426153493948,0.9424083769633508,0.9003425372096258,0.9570552147239264,0.8930232558139535,0.8759124087591241,,
3,58,0.8811528198426498,0.9642857142857143,0.9412130412891034,0.9199029126213593,0.8762976325697679,0.9633507853403142,0.9359360730593608,0.9815950920245399,0.9199029126213593,0.9221411192214112,,
3,59,0.9294672416543575,0.9779411764705882,0.9581609798853447,0.9541062801932367,0.9385032752557662,0.9790575916230366,0.9545021821643608,0.9634146341463414,0.9569620253164557,0.9541062801932367,,
3,60,0.9825280793305722,0.9947478991596639,0.9903919181830476,0.9874371859296482,0.9813668084956814,0.9947643979057592,0.9916457811194653,0.9937888198757764,0.9874371859296482,0.9899497487437185,,
3,61,0.9725409646489583,0.9915966386554622,0.9841887937630539,0.9824120603015075,0.9556568842961737,0.9842931937172775,0.9621192971540052,0.9876543209876543,0.9825,0.9824120603015075,,
3,62,0.8252778724765466,0.9464285714285714,0.9127850803846287,0.8833746898263027,0.795974795528026,0.93717277486911,0.8992314874667816,0.9691358024691358,0.8858447488584474,0.8833746898263027,,
3,63,0.8252275375716066,0.9464285714285714,0.9140087161474252,0.8817733990147784,0.8126334047577258,0.9424083769633508,0.9069625931492,0.9754601226993865,0.8847926267281107,0.8817733990147784,,
3,64,0.8940014114467741,0.9684873949579832,0.9487303021178359,0.9292682926829269,0.9117827354885152,0.9738219895287958,0.9571188188677198,0.9876543209876543,0.9292682926829269,0.9292682926829269,,
3,65,0.92839280177737,0.976890756302521,0.9540444348191347,0.949748743718593,0.9035217223023192,0.9685863874345549,0.9410274537527984,0.9512195121951219,0.949748743718593,0.9611650485436893,,
3,66,0.9517210870865804,0.9852941176470589,0.9731084643791431,0.9675810473815462,0.9323188401091859,0.9790575916230366,0.9611233193493512,0.9815950920245399,0.9675810473815462,0.9701492537313433,,
3,67,0.8374729183767182,0.9495798319327731,0.9146958618569595,0.8875305623471883,0.8799533615422364,0.9633507853403142,0.9371925413785879,0.9567901234567902,0.8997668997668997,0.8875305623471883,,
