score,median_C1,median_C2,median_C3,median_C4,kruskal_P
StromalScore,104.854367469362,764.4682148530501,329.865961142371,503.58220933032703,4.2213607616451284e-22
ImmuneScore,317.760468027947,108.94238291846551,-40.997364778769295,140.334470318441,0.001859974542947338
ESTIMATEScore,380.9101551373575,885.9030347001235,328.9044532522055,689.5090495502004,3.5174061656278774e-06
