gene,median_C1,median_C2,median_C3,median_C4,kruskal_P,highest_subtype
CD274,5.526068687438965,5.4610302448272705,5.469669818878174,5.4954833984375,7.6269714199522e-07,1
PDCD1,5.666438102722168,5.503194332122803,5.531955242156982,5.617055416107178,3.7457689020683877e-16,1
CTLA4,6.456143379211426,5.896311283111572,5.994096279144287,6.331385135650635,5.8507082867230634e-37,1
LAG3,7.1031599044799805,6.209088325500488,6.453847408294678,6.65487813949585,7.881094367038213e-49,1
HAVCR2,9.23619556427002,8.910476684570312,9.023435592651367,9.159445762634277,3.14276523268329e-12,1
IDO1,6.969488143920898,5.8436689376831055,5.919727325439453,6.343581676483154,1.9221844126447258e-50,1
CD8A,7.461406230926514,7.108460426330566,6.970317363739014,7.3490471839904785,1.0290941103957042e-06,1
