cohort,subtype,n,ER_pos_frac,events
GSE21653,1,49,0.12244897959183673,17
GSE21653,2,88,0.6931818181818182,21
GSE21653,3,70,0.8405797101449275,25
GSE21653,4,45,0.3409090909090909,20
