cohort,n,auc,ci_low,ci_high,logit_auc,logit_se,random_weight
METABRIC,1979,0.9216970155739657,0.9072445712990358,0.9345754444117265,2.465630835490806,0.09661960922765557,0.31177331304988265
GSE21653,250,0.8474675324675325,0.7975057689912016,0.8952761298414609,1.714875053508615,0.19771108325179426,0.26978875959311804
GSE7390,198,0.9029850746268656,0.8480698177158187,0.9492139902836134,2.2308411881352037,0.30828353819858506,0.21527691954085407
GSE20711,87,0.8328042328042328,0.7389805799531399,0.9129290861081274,1.6056332153904362,0.3339945118671816,0.20316100781614524
Random-effects pooled,2514,0.8847113641807011,0.8262504654031292,0.9252809284397219,2.0378225890705943,0.24415277576298278,1.0
