,No benefits,Responder,TIDE,IFNG,MSI Score,CD274,CD8,CTL.flag,Dysfunction,Exclusion,MDSC,CAF,TAM M2,CTL
S263,False,False,2.168877151359491,3.792714734872182,0.9986522775738962,1.1163442134857178,0.36565959453582764,False,-1.2950435809170644,2.168877151359491,0.11704496357345785,0.21089594795127142,-0.013382458678919839,0.34380335
S36,False,True,-0.2694656697281821,6.532548179229099,0.9994938312509946,2.378096103668213,5.5741612911224365,True,-0.2694656697281821,1.5613652226035148,0.06473383244610359,0.17362747923364136,-0.023546029277959818,5.1512117
S104,False,True,-0.3837172326732855,4.220844183427592,0.9998283675695174,1.5032923221588135,2.9817445278167725,True,-0.3837172326732855,1.8517800423496364,0.08579274977245324,0.18629078451895514,-0.010631695196368316,2.6023026
S819,False,True,-0.4103803723896259,7.383633573849995,0.999342679239516,3.7312710285186768,5.826522350311279,True,-0.4103803723896259,0.973494691636383,0.026381202163766774,0.12769071236276142,-0.03156380496366874,5.1042576
S693,False,True,-0.4159252509799509,7.66762512922287,0.9989992342138782,4.432363986968994,5.440361499786377,True,-0.4159252509799509,1.199767211812985,0.013980346266565948,0.1956437714884368,-0.0481855433310789,4.853212
S294,False,True,-0.4241290713058789,7.487871567408243,0.9995155033374999,4.238073348999023,6.576202869415283,True,-0.4241290713058789,0.7185050898866754,0.016516217977396698,0.0929223124266355,-0.029424057255269486,6.112175
S51,False,True,-0.46279577731094756,5.996036261320114,0.9994350004789769,3.8533692359924316,4.082615494728088,True,-0.46279577731094756,1.493693871167579,0.021400852717098018,0.2187444671012696,-0.03170700979972838,4.414073
S822,False,True,-0.4844418610756981,6.500850697358449,0.9990968072015075,2.970449447631836,4.908653974533081,True,-0.4844418610756981,1.5187319259535297,0.06403878177823727,0.1676210254939422,-0.023717448595592407,4.890305
S320,False,True,-0.554245695722857,6.947976092497508,0.9980869280999493,4.110387802124023,5.383494138717651,True,-0.554245695722857,1.5696960784612215,0.05263707098226073,0.205547655962606,-0.03804122438459902,4.623982
S886,False,True,-0.5810062319342258,7.018651644388834,0.9993514663859228,3.6429336071014404,4.446598768234253,True,-0.5810062319342258,1.5284077823967857,0.04840582348663122,0.2082844059148703,-0.044501116522295686,4.264847
S921,False,True,-0.5837776690042203,6.178862710793813,0.9996904468093284,1.9868820905685425,4.739517450332642,True,-0.5837776690042203,1.4681268134830374,0.05474985447556541,0.16538511199223374,-0.02101352377813046,5.334613
S443,False,True,-0.603653620031859,7.918439308802286,0.999385492859309,4.237304210662842,5.590311527252197,True,-0.603653620031859,1.3812018164139357,0.04479013591943976,0.17796162097505597,-0.03604846707447753,5.3099008
S890,False,True,-0.6134575448494642,6.41416789094607,0.9990625466437271,2.4109952449798584,4.342342734336853,True,-0.6134575448494642,1.4603063713525914,0.07568768358351392,0.13514425100133834,-0.012940831341611819,4.482657
S874,False,True,-0.6240178493848619,7.402254144350687,0.9998061702496343,4.118685245513916,5.7811279296875,True,-0.6240178493848619,0.9946349047967985,0.04886730117723967,0.10335786548408966,-0.030086742546226567,5.1830707
S946,False,True,-0.6669001573795049,5.633414253592491,0.9990723934178923,2.1942367553710938,4.3376137018203735,True,-0.6669001573795049,1.3800396480859871,0.06725179765246825,0.13462497389453848,-0.013391430748691433,4.3914413
S131,False,True,-0.6775178317788463,4.556836719314258,0.9966757306248291,2.160550594329834,1.2882256507873535,True,-0.6775178317788463,2.1681068588041796,0.11225428779223329,0.22331807614898133,-0.0214822102962916,1.6453769
S928,False,True,-0.6887537713626591,7.574013809363047,0.9991643595761621,3.9174952507019043,5.927682399749756,True,-0.6887537713626591,1.3292113718985854,0.0595103890493823,0.15697093825473718,-0.04040083986630924,5.2783995
S869,False,True,-0.6931062470488857,7.065046330293019,0.9992739953929857,3.77502179145813,5.361156702041626,True,-0.6931062470488857,1.506574165416561,0.049075032754586155,0.19283903718405018,-0.03392228587679772,5.1273155
